Datetime,Adj Close,Close,High,Low,Open,Volume,close,open,high,low,volume,ema8,above_ema8,ema8_distance,ma5,ma20,tp_volume,date,cum_tp_volume,cum_volume,vwap,above_vwap,vwap_distance,tr1,tr2,tr3,tr,atr14,volume_ma20,volume_ratio,volume_spike,body,upper_shadow,lower_shadow,day_position,future_high_30,future_low_30,future_high_60,future_low_60,mfe_30,mae_30,mfe_60,mae_60,strong_buy_label,high_risk_label,weak_buy_label,reward_risk_ratio_60,good_rr_label,buy_probability,expected_profit,expected_loss,rr,win
2026-02-25 05:15:00+00:00,204000.0,204000.0,205500.0,204000.0,205250.0,398961,204000.0,205250.0,205500.0,204000.0,398961,204847.60822640848,0,-847.6082264084835,205200.0,204450.0,81587524500.0,2026-02-25,3635486263083.3335,17869752,203443.57678177813,1,556.4232182218693,1500.0,500.0,1000.0,1500.0,803.5714285714286,216859.85,1.839718140540999,0,1250.0,250.0,0.0,0.5,204500.0,203000.0,214000.0,203000.0,500.0,1000.0,10000.0,1000.0,1,0,0,10.0,1,0.80733216,10000.0,1000.0,10.0,1
2026-02-25 05:20:00+00:00,203500.0,203500.0,204500.0,203500.0,204000.0,350961,203500.0,204000.0,204500.0,203500.0,350961,204548.13973165103,0,-1048.1397316510556,204700.0,204425.0,71537550500.0,2026-02-25,3707023813583.3335,18220713,203451.08413613305,1,48.91586386694689,1000.0,500.0,500.0,1000.0,839.2857142857143,223373.0,1.5711881024116612,0,500.0,500.0,0.0,0.375,204000.0,203000.0,214000.0,203000.0,500.0,500.0,10500.0,500.0,1,0,0,21.0,1,0.7436489,10500.0,500.0,21.0,1
2026-02-25 05:45:00+00:00,204000.0,204000.0,204000.0,203000.0,203250.0,509021,204000.0,203250.0,204000.0,203000.0,509021,203863.68244119053,1,136.31755880947458,203600.0,204375.0,103670610333.33331,2026-02-25,3999006047916.6665,19655082,203459.13834990188,1,540.8616500981152,1000.0,1000.0,0.0,1000.0,821.4285714285714,254169.8,2.0026808849831883,1,750.0,0.0,250.0,0.3333333333333333,214000.0,203000.0,217500.0,203000.0,10000.0,1000.0,13500.0,1000.0,1,0,0,13.5,1,0.761984,13500.0,1000.0,13.5,1
2026-02-26 00:00:00+00:00,208000.0,208000.0,209000.0,206000.0,206500.0,2010629,208000.0,206500.0,209000.0,206000.0,2010629,204517.4802158139,1,3482.5197841860645,204200.0,204475.0,417540622333.3333,2026-02-26,417540622333.3333,2010629,207666.66666666663,1,333.33333333334303,3000.0,6000.0,3000.0,6000.0,1214.2857142857142,362213.05,5.550956819474064,1,1500.0,1000.0,500.0,0.8333333333333334,216000.0,208000.0,217500.0,208000.0,8000.0,0.0,9500.0,0.0,1,0,0,9500.0,1,0.7507811,9500.0,0.0,9500.0,1
2026-02-26 00:05:00+00:00,209750.0,209750.0,210000.0,208000.0,208500.0,632615,209750.0,208500.0,210000.0,208000.0,632615,205680.2623900775,1,4069.737609922507,205550.0,204762.5,132374688750.0,2026-02-26,549915311083.3333,2643244,208045.61027409247,1,1704.389725907531,2000.0,2000.0,0.0,2000.0,1250.0,385796.8,1.6397621753213092,0,1250.0,250.0,500.0,0.9642857142857144,216000.0,209500.0,217500.0,209500.0,6250.0,250.0,7750.0,250.0,1,0,0,31.0,1,0.7619975,7750.0,250.0,31.0,1
2026-02-26 04:55:00+00:00,214000.0,214000.0,216000.0,214000.0,215500.0,611091,214000.0,215500.0,216000.0,214000.0,611091,215001.27904319533,0,-1001.2790431953326,215300.0,215000.0,131180868000.0,2026-02-26,4523958145333.333,21191591,213478.92875685135,1,521.0712431486172,2000.0,500.0,1500.0,2000.0,785.7142857142857,202731.3,3.01429034391828,1,1500.0,500.0,0.0,0.5555555555555556,216500.0,213500.0,217000.0,213500.0,2500.0,500.0,3000.0,500.0,1,0,0,6.0,1,0.7922823,3000.0,500.0,6.0,1
2026-02-27 00:00:00+00:00,214000.0,214000.0,214500.0,210000.0,210000.0,4080063,214000.0,210000.0,214500.0,210000.0,4080063,215573.74842972623,0,-1573.7484297262272,215850.0,215425.0,868373408500.0,2026-02-27,868373408500.0,4080063,212833.33333333337,1,1166.666666666657,4500.0,1500.0,6000.0,6000.0,1357.142857142857,505927.85,8.064515523310291,1,4000.0,500.0,0.0,0.5714285714285714,220000.0,213500.0,220000.0,213000.0,6000.0,500.0,6000.0,1000.0,1,0,0,6.0,1,0.7699993,6000.0,1000.0,6.0,1
2026-03-03 00:10:00+00:00,207500.0,207500.0,210500.0,207500.0,210500.0,1792424,207500.0,210500.0,210500.0,207500.0,1792424,214343.52994043837,0,-6843.5299404383695,213250.0,218012.5,373720404000.0,2026-03-03,548911555000.0,2624686,209134.1802409888,0,-1634.1802409888187,3000.0,0.0,3000.0,3000.0,2267.8571428571427,465136.05,3.8535477953170902,1,3000.0,0.0,0.0,0.0,212000.0,207000.0,212500.0,207000.0,4500.0,500.0,5000.0,500.0,1,0,0,10.0,1,0.9375247,5000.0,500.0,10.0,1
2026-03-03 00:15:00+00:00,208750.0,208750.0,209000.0,207000.0,207500.0,1149119,208750.0,207500.0,209000.0,207000.0,1149119,213100.5232870076,0,-4350.523287007614,211100.0,217600.0,239304031750.0,2026-03-03,788215586750.0,3773805,208864.9484406322,0,-114.9484406322008,2000.0,1500.0,500.0,2000.0,2267.8571428571427,517825.45,2.219124224195624,1,1250.0,250.0,500.0,0.109375,212500.0,207500.0,212500.0,207500.0,3750.0,1250.0,3750.0,1250.0,1,0,0,3.0,1,0.8620259,3750.0,1250.0,3.0,1
2026-03-03 03:05:00+00:00,202000.0,202000.0,203750.0,202000.0,203500.0,804579,202000.0,203500.0,203750.0,202000.0,804579,204331.4436959488,0,-2331.4436959487794,203900.0,206587.5,162994295750.0,2026-03-03,4402152964250.0,21131451,208322.32316891063,0,-6322.323168910632,1750.0,250.0,1500.0,1750.0,1535.7142857142858,489298.75,1.644351227138839,0,1500.0,250.0,0.0,0.0,204500.0,200000.0,204500.0,200000.0,2500.0,2000.0,2500.0,2000.0,1,1,0,1.25,0,0.8788204,2500.0,2000.0,1.25,1
2026-03-03 04:50:00+00:00,197600.0,197600.0,198900.0,197600.0,198700.0,1107353,197600.0,198700.0,198900.0,197600.0,1107353,199482.55079530855,0,-1882.550795308576,199080.0,201057.5,219292805766.6667,2026-03-03,7008873622150.0,34106108,205502.0063312413,0,-7902.006331241311,1300.0,200.0,1100.0,1300.0,1096.428571428571,601951.7,1.8396044067987516,0,1100.0,200.0,0.0,0.0,201000.0,196000.0,201000.0,196000.0,3400.0,1600.0,3400.0,1600.0,1,0,0,2.125,1,0.90920943,3400.0,1600.0,2.125,1
2026-03-03 04:55:00+00:00,197500.0,197500.0,197800.0,196000.0,197600.0,1381296,197500.0,197600.0,197800.0,196000.0,1381296,199041.98395190667,0,-1541.9839519066736,198580.0,200770.0,272253441600.0,2026-03-03,7281127063750.0,35487404,205174.97035708785,0,-7674.970357087819,1800.0,200.0,1600.0,1800.0,1117.857142857143,644135.6,2.1444180386862643,1,100.0,200.0,1500.0,0.0909090909090909,201000.0,197200.0,201000.0,195500.0,3500.0,300.0,3500.0,2000.0,1,1,0,1.75,0,0.7797405,3500.0,2000.0,1.75,1
2026-03-04 00:00:00+00:00,179800.0,179800.0,185400.0,179600.0,184200.0,6040894,179800.0,184200.0,185400.0,179600.0,6040894,193608.368718781,0,-13808.368718781014,193300.0,197875.0,1097026350400.0,2026-03-04,1097026350400.0,6040894,181600.0,0,-1800.0,5800.0,10600.0,16400.0,16400.0,2407.1428571428573,1039607.35,5.810745758963709,1,4400.0,1200.0,200.0,0.0070422535211267,195900.0,179600.0,195900.0,179600.0,16100.0,200.0,16100.0,200.0,1,0,0,80.5,1,0.82902724,16100.0,200.0,80.5,1
2026-03-05 00:05:00+00:00,193300.0,193300.0,196700.0,192400.0,195900.0,2937272,193300.0,195900.0,196700.0,192400.0,2937272,183559.50557998804,1,9740.494420011964,183980.0,178380.0,570222404266.6667,2026-03-05,1268310696200.0,6512323,194755.49603421084,0,-1455.4960342108388,4300.0,800.0,3500.0,4300.0,3107.1428571428573,940702.55,3.1224237672152584,1,2600.0,800.0,900.0,0.8617886178861789,199700.0,192300.0,199700.0,192300.0,6400.0,1000.0,6400.0,1000.0,1,0,0,6.4,1,0.89379483,6400.0,1000.0,6.4,1
2026-03-05 00:10:00+00:00,194400.0,194400.0,194400.0,192300.0,193300.0,2088156,194400.0,193300.0,194400.0,192300.0,2088156,185968.5043399907,1,8431.4956600093,187500.0,179195.0,404475817200.0,2026-03-05,1672786513400.0,8600479,194499.22654307977,0,-99.22654307974152,2100.0,1100.0,1000.0,2100.0,3121.4285714285716,1006333.9,2.075013074686245,1,1100.0,0.0,1000.0,0.9065040650406504,199700.0,194100.0,199700.0,194100.0,5300.0,300.0,5300.0,300.0,1,0,0,17.666666666666668,1,0.8656219,5300.0,300.0,17.666666666666668,1
2026-03-05 00:15:00+00:00,195700.0,195700.0,195700.0,194100.0,194400.0,1622771,195700.0,194400.0,195700.0,194100.0,1622771,188131.05893110388,1,7568.941068896122,191160.0,180175.0,316710806833.3333,2026-03-05,1989497320233.3333,10223250,194605.17156807604,1,1094.828431923961,1600.0,1300.0,300.0,1600.0,3157.1428571428573,1045328.45,1.5524029791784584,0,1300.0,0.0,300.0,0.959349593495935,199700.0,195000.0,199700.0,195000.0,4000.0,700.0,4000.0,700.0,1,0,0,5.714285714285714,1,0.77822256,4000.0,700.0,5.714285714285714,1
2026-03-05 03:45:00+00:00,189200.0,189200.0,190800.0,189100.0,190800.0,842605,189200.0,190800.0,190800.0,189100.0,842605,190999.25747686956,0,-1799.257476869563,190640.0,192127.5,159842168500.0,2026-03-05,7323674411116.667,37621789,194665.76698722824,0,-5465.766987228242,1700.0,0.0,1700.0,1700.0,1050.0,380301.5,2.215623656493598,1,1600.0,0.0,100.0,0.5550847457627118,190700.0,188100.0,193600.0,188100.0,1500.0,1100.0,4400.0,1100.0,1,0,0,4.0,1,0.81253916,4400.0,1100.0,4.0,1
2026-03-05 03:50:00+00:00,189800.0,189800.0,189900.0,188200.0,189200.0,775975,189800.0,189200.0,189900.0,188200.0,775975,190732.755815343,0,-932.755815343,190300.0,191957.5,146892067500.0,2026-03-05,7470566478616.667,38397764,194557.33095855964,0,-4757.3309585596435,1700.0,700.0,1000.0,1700.0,1100.0,395379.5,1.962608076544181,0,600.0,100.0,1000.0,0.5732758620689655,191000.0,188100.0,193700.0,188100.0,1200.0,1700.0,3900.0,1700.0,1,0,0,2.2941176470588234,1,0.8581722,3900.0,1700.0,2.2941176470588234,1
2026-03-09 00:20:00+00:00,171300.0,171300.0,172400.0,171000.0,172000.0,1188818,171300.0,172000.0,172400.0,171000.0,1188818,177038.46408701295,0,-5738.4640870129515,173240.0,183705.0,203961541533.3333,2026-03-09,808140129066.6666,4668828,173092.71814396817,0,-1792.7181439681735,1400.0,400.0,1000.0,1400.0,2228.5714285714284,417197.75,2.849531187548351,1,700.0,400.0,300.0,0.0168539325842696,174200.0,170600.0,174200.0,170000.0,2900.0,700.0,2900.0,1300.0,1,0,0,2.230769230769231,1,0.82265276,2900.0,1300.0,2.230769230769231,1
2026-03-09 02:00:00+00:00,168300.0,168300.0,169900.0,168000.0,169200.0,2211548,168300.0,169200.0,169900.0,168000.0,2211548,170110.80443720633,0,-1810.8044372063305,169820.0,171675.0,373161865866.6667,2026-03-09,2827905832866.6665,16488485,171507.9240370881,0,-3207.924037088087,1900.0,600.0,1300.0,1900.0,1121.428571428571,824424.25,2.682536327625006,1,900.0,700.0,300.0,0.0144230769230769,171500.0,168100.0,172800.0,168100.0,3200.0,200.0,4500.0,200.0,1,0,0,22.5,1,0.97547066,4500.0,200.0,22.5,1
2026-03-09 04:55:00+00:00,167600.0,167600.0,168200.0,167500.0,168000.0,673564,167600.0,168000.0,168200.0,167500.0,673564,168380.83557469025,0,-780.8355746902525,168130.0,169322.5,113001587066.66666,2026-03-09,4982641580650.0,29175455,170781.96657601398,0,-3181.966576013976,700.0,100.0,600.0,700.0,485.7142857142857,317582.85,2.1209079772412145,1,400.0,200.0,100.0,0.0149253731343283,172700.0,167300.0,173900.0,167300.0,5100.0,300.0,6300.0,300.0,1,0,0,21.0,1,0.98318934,6300.0,300.0,21.0,1
2026-03-09 05:00:00+00:00,168500.0,168500.0,168500.0,167300.0,167600.0,519967,168500.0,167600.0,168500.0,167300.0,519967,168407.31655809245,1,92.68344190757487,168170.0,169207.5,87406452700.0,2026-03-09,5070048033350.0,29695422,170735.005326747,0,-2235.005326746992,1200.0,900.0,300.0,1200.0,514.2857142857143,330141.8,1.5749808112756398,0,900.0,0.0,300.0,0.1875,173700.0,168400.0,188000.0,168400.0,5200.0,100.0,19500.0,100.0,1,0,0,195.0,1,0.9790196,19500.0,100.0,195.0,1
2026-03-09 05:20:00+00:00,171600.0,171600.0,171700.0,168400.0,168700.0,925537,171600.0,168700.0,171700.0,168400.0,925537,169503.21095198594,1,2096.789048014063,169680.0,169122.5,157865760966.66666,2026-03-09,5392564090750.0,31593633,170685.15326331733,1,914.8467366826662,3300.0,3000.0,300.0,3300.0,864.2857142857143,365125.0,2.534849709003766,1,2900.0,100.0,300.0,0.7818181818181819,173900.0,171100.0,188000.0,171100.0,2300.0,500.0,16400.0,500.0,1,0,0,32.8,1,0.9541805,16400.0,500.0,32.8,1
2026-03-09 05:25:00+00:00,172250.0,172250.0,172700.0,171100.0,171650.0,830320,172250.0,171650.0,172700.0,171100.0,830320,170113.6085182113,1,2136.391481788713,170430.0,169250.0,142828878666.66666,2026-03-09,5535392969416.667,32423953,170719.2509629121,1,1530.749037087895,1600.0,1100.0,500.0,1600.0,964.2857142857144,390169.35,2.1281015538509114,1,600.0,450.0,550.0,0.9,173900.0,171200.0,188400.0,171200.0,1650.0,1050.0,16150.0,1050.0,1,0,0,15.38095238095238,1,0.96382725,16150.0,1050.0,15.380952380952381,1
2026-03-09 05:30:00+00:00,173000.0,173000.0,173700.0,172000.0,172250.0,980116,173000.0,172250.0,173700.0,172000.0,980116,170755.02884749768,1,2244.971152502316,171090.0,169415.0,169462056400.0,2026-03-09,5704855025816.667,33404069,170783.2367912025,1,2216.763208797493,1700.0,1450.0,250.0,1700.0,1064.2857142857142,423685.6,2.3133096805744637,1,750.0,700.0,250.0,0.890625,188000.0,171200.0,188500.0,171200.0,15000.0,1800.0,15500.0,1800.0,1,0,0,8.61111111111111,1,0.952835,15500.0,1800.0,8.61111111111111,1
2026-03-09 05:35:00+00:00,172800.0,172800.0,173700.0,172000.0,173000.0,718973,172800.0,173000.0,173700.0,172000.0,718973,171209.46688138708,1,1590.5331186129188,171670.0,169585.0,124262500166.66669,2026-03-09,5829117525983.333,34123042,170826.43235568894,1,1973.567644311057,1700.0,700.0,1000.0,1700.0,1164.2857142857142,445953.35,1.6122157171820777,0,200.0,700.0,800.0,0.859375,188000.0,171200.0,188600.0,171200.0,15200.0,1600.0,15800.0,1600.0,1,0,0,9.875,1,0.95744985,15800.0,1600.0,9.875,1
2026-03-10 00:00:00+00:00,187100.0,187100.0,188000.0,186500.0,187600.0,2791923,187100.0,187600.0,188000.0,186500.0,2791923,175465.34420355083,1,11634.655796449166,175560.0,171135.0,522647985600.0,2026-03-10,522647985600.0,2791923,187200.0,0,-100.0,1500.0,15100.0,13600.0,15100.0,2464.285714285714,621345.6,4.493349594814866,1,500.0,400.0,600.0,0.9565217391304348,188500.0,185200.0,190800.0,185200.0,1400.0,1900.0,3700.0,1900.0,1,0,0,1.9473684210526316,0,0.8697517,3700.0,1900.0,1.9473684210526316,1
2026-03-10 00:05:00+00:00,186200.0,186200.0,187200.0,185200.0,187100.0,1165599,186200.0,187100.0,187200.0,185200.0,1165599,177850.82326942842,1,8349.176730571577,178220.0,171990.0,217034533800.0,2026-03-10,739682519400.0,3957522,186905.47251537704,0,-705.4725153770414,2000.0,100.0,1900.0,2000.0,2557.1428571428573,667233.5,1.7469131870627,0,900.0,100.0,1000.0,0.9130434782608696,188600.0,185600.0,190800.0,185600.0,2400.0,600.0,4600.0,600.0,1,0,0,7.666666666666667,1,0.91255134,4600.0,600.0,7.666666666666667,1
2026-03-10 00:10:00+00:00,186500.0,186500.0,187400.0,185600.0,186200.0,1111122,186500.0,186200.0,187400.0,185600.0,1111122,179772.8625428888,1,6727.13745711121,181020.0,172880.0,207224253000.0,2026-03-10,946906772400.0,5068644,186816.58692147248,0,-316.58692147248075,1800.0,1200.0,600.0,1800.0,2600.0,700093.5,1.5871051509548368,0,300.0,900.0,600.0,0.927536231884058,189950.0,186500.0,190800.0,186500.0,3450.0,0.0,4300.0,0.0,1,0,0,4300.0,1,0.8899796,4300.0,0.0,4300.0,1
2026-03-10 03:45:00+00:00,184700.0,184700.0,185500.0,184500.0,185500.0,837407,184700.0,185500.0,185500.0,184500.0,837407,186276.6076372465,0,-1576.6076372464886,185990.0,187962.5,154836554300.0,2026-03-10,4337906197666.6665,23037627,188296.5722844053,0,-3596.5722844052652,1000.0,100.0,900.0,1000.0,967.8571428571428,319031.15,2.624844000342913,1,800.0,0.0,200.0,0.6582914572864321,186900.0,184300.0,187600.0,184300.0,2200.0,400.0,2900.0,400.0,1,0,0,7.25,1,0.8655323,2900.0,400.0,7.25,1
2026-03-11 00:00:00+00:00,190800.0,190800.0,193600.0,190600.0,193000.0,2263276,190800.0,193000.0,193600.0,190600.0,2263276,188084.2278050764,1,2715.7721949236,188040.0,187317.5,433794566666.6666,2026-03-11,433794566666.6666,2263276,191666.66666666663,0,-866.666666666657,3000.0,5600.0,2600.0,5600.0,1164.2857142857142,343493.25,6.588997018136455,1,2200.0,600.0,200.0,0.6989247311827957,193600.0,190700.0,193600.0,190200.0,2800.0,100.0,2800.0,600.0,1,0,0,4.666666666666667,1,0.7559315,2800.0,600.0,4.666666666666667,1
2026-03-12 00:05:00+00:00,187100.0,187100.0,187800.0,186200.0,187500.0,712143,187100.0,187500.0,187800.0,186200.0,712143,189425.60188345463,0,-2325.601883454656,188760.0,192087.5,133194479100.0,2026-03-12,432160177733.3333,2306060,187401.96600840104,0,-301.9660084010393,1600.0,200.0,1400.0,1600.0,1146.428571428571,429559.35,1.6578454176355375,0,400.0,300.0,900.0,0.1046511627906976,190000.0,186600.0,190000.0,186600.0,2900.0,500.0,2900.0,500.0,1,0,0,5.8,1,0.7099689,2900.0,500.0,5.8,1
2026-03-13 00:05:00+00:00,180800.0,180800.0,181200.0,180350.0,181150.0,501204,180800.0,181150.0,181200.0,180350.0,501204,184746.37775851568,0,-3946.3777585156786,184730.0,186545.0,90609329800.0,2026-03-13,365209812400.0,2020152,180783.33333333337,1,16.666666666656965,850.0,50.0,800.0,850.0,1114.2857142857142,233117.5,2.1500058983130823,1,350.0,50.0,450.0,0.1058823529411764,183500.0,180700.0,183900.0,180700.0,2700.0,100.0,3100.0,100.0,1,0,0,31.0,1,0.7981265,3100.0,100.0,31.0,1
2026-03-13 05:55:00+00:00,184200.0,184200.0,184400.0,183600.0,183700.0,225171,184200.0,183700.0,184400.0,183600.0,225171,183854.2258666999,1,345.7741333000886,183880.0,183455.0,41446475400.0,2026-03-13,2865633144616.6665,15638596,183241.07513338575,1,958.924866614223,800.0,600.0,200.0,800.0,517.8571428571429,148068.75,1.5207192604786628,0,500.0,200.0,100.0,0.4736842105263157,188000.0,185200.0,188000.0,185200.0,3800.0,-1000.0,3800.0,-1000.0,1,0,0,-3.8,0,0.94934607,3800.0,-1000.0,-3.8,1
2026-03-16 05:45:00+00:00,188100.0,188100.0,188300.0,187500.0,187600.0,464872,188100.0,187600.0,188300.0,187500.0,464872,187285.8061989411,1,814.1938010588929,187340.0,186945.0,87380440266.66666,2026-03-16,2689507858966.6665,14448887,186139.4485932838,1,1960.5514067162003,800.0,700.0,100.0,800.0,639.2857142857143,167176.35,2.780728254923618,1,500.0,200.0,100.0,0.9574468085106383,198000.0,188100.0,198000.0,188100.0,9900.0,0.0,9900.0,0.0,1,0,0,9900.0,1,0.8928952,9900.0,0.0,9900.0,1
