threshold,take_profit,stop_loss,signal_count,win_rate,avg_pnl,total_pnl,profit_factor,loss_count,timeout_count
0.8,5000,2500,36,0.5833333333333334,827.7777777777778,29800.0,2.2339544513457557,0,15
0.8,4500,2500,36,0.6388888888888888,656.9444444444445,23650.0,2.048780487804878,0,13
0.7,5000,2500,60,0.5,658.3333333333334,39500.0,1.9887359198998749,0,30
0.8,5000,2000,36,0.5833333333333334,709.7222222222222,25550.0,1.8996478873239437,2,13
0.8,3500,2500,36,0.7777777777777778,361.1111111111111,13000.0,1.8666666666666667,0,8
0.7,4500,2500,60,0.55,510.0,30600.0,1.7979139504563233,0,27
0.8,4500,2000,36,0.6388888888888888,538.8888888888889,19400.0,1.7238805970149254,2,11
0.8,4000,2500,36,0.6666666666666666,413.8888888888889,14900.0,1.699530516431925,0,12
0.8,3000,2500,36,0.8611111111111112,166.66666666666666,6000.0,1.631578947368421,0,5
0.7,5000,2000,60,0.5,512.5,30750.0,1.6314168377823408,3,27
0.7,3000,2500,60,0.85,162.5,9750.0,1.619047619047619,0,9
0.7,3500,2500,60,0.7333333333333333,283.3333333333333,17000.0,1.6181818181818182,0,16
0.6,5000,2500,68,0.4852941176470588,485.29411764705884,33000.0,1.6116774791473587,1,34
0.7,4000,2500,60,0.6166666666666667,356.6666666666667,21400.0,1.6062322946175638,0,23
0.6,4500,2500,68,0.5441176470588235,369.11764705882354,25100.0,1.4840887174541948,1,30
0.7,4500,2000,60,0.55,364.1666666666667,21850.0,1.4639065817409767,3,24
0.8,3500,2000,36,0.7777777777777778,243.05555555555554,8750.0,1.4545454545454546,2,6
0.8,4000,2000,36,0.6666666666666666,295.8333333333333,10650.0,1.4168297455968688,2,10
0.8,5000,1500,36,0.5277777777777778,306.94444444444446,11050.0,1.29155672823219,6,11
0.7,4000,2000,60,0.6166666666666667,210.83333333333334,12650.0,1.2871736662883086,3,20
0.6,4000,2500,68,0.6029411764705882,204.41176470588235,13900.0,1.2848360655737705,1,26
0.6,5000,2000,68,0.47058823529411764,261.02941176470586,17750.0,1.2661169415292355,5,31
0.7,3500,2000,60,0.7166666666666667,120.83333333333333,7250.0,1.2,3,14
0.6,3500,2500,68,0.7058823529411765,110.29411764705883,7500.0,1.1829268292682926,1,19
0.8,4500,1500,36,0.5833333333333334,163.88888888888889,5900.0,1.162534435261708,6,9
0.6,4500,2000,68,0.5294117647058824,152.2058823529412,10350.0,1.160216718266254,5,27
0.8,3000,2000,36,0.8611111111111112,48.611111111111114,1750.0,1.1272727272727272,2,3
