datetime,open,high,low,close,volume,change_rate,volume_diff
2026-06-01 15:00:00,351500.0,351750.0,350500.0,351750.0,34368766.0,10.96,0.0
2026-06-01 15:05:00,353000.0,354250.0,352500.0,353000.0,35390871.0,11.36,1022105.0
2026-06-01 15:10:00,353000.0,353500.0,351500.0,352000.0,35965866.0,11.04,574995.0
2026-06-01 15:15:00,352500.0,352500.0,351000.0,352000.0,36678231.0,11.04,712365.0
2026-06-01 15:20:00,351500.0,351500.0,351500.0,351500.0,36679661.0,10.88,1430.0
2026-06-01 15:25:00,351500.0,351500.0,351500.0,351500.0,36679661.0,10.88,0.0
2026-06-01 15:30:00,351500.0,351500.0,349000.0,349000.0,39345631.0,10.09,2665970.0
2026-06-01 15:35:00,349000.0,349000.0,349000.0,349000.0,39369650.0,10.09,24019.0
2026-06-01 15:40:00,349000.0,349000.0,349000.0,349000.0,39369788.0,10.09,138.0
2026-06-01 15:45:00,349000.0,349000.0,349000.0,349000.0,39371923.0,10.09,2135.0
2026-06-01 15:50:00,349000.0,349000.0,349000.0,349000.0,39371979.0,10.09,56.0
2026-06-01 15:55:00,349000.0,349000.0,349000.0,349000.0,39372101.0,10.09,122.0
2026-06-01 16:00:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,2.0
2026-06-01 16:05:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 16:10:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 16:15:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 16:20:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 16:25:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 16:30:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 16:35:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 16:40:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 16:45:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 16:50:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 16:55:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:00:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:05:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:10:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:15:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:20:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:25:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:30:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:40:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:45:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:50:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 17:55:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 18:00:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 18:05:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0
2026-06-01 18:20:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,5680385.0
2026-06-01 18:35:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 18:40:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 18:50:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 18:55:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:00:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:05:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:10:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:15:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:20:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:25:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:30:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:40:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:45:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:50:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 19:55:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 20:00:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 20:05:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 20:10:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 20:15:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 20:20:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 20:25:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 20:30:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 20:45:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 20:55:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 21:00:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 21:10:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 21:15:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 21:30:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-01 21:40:00,349000.0,349000.0,349000.0,349000.0,45052488.0,10.09,0.0
2026-06-02 08:55:00,349000.0,349000.0,349000.0,349000.0,172.0,0.0,-45052316.0
2026-06-02 09:00:00,349000.0,369500.0,349000.0,369000.0,5429212.0,5.73,5429040.0
2026-06-02 09:05:00,369500.0,369500.0,343500.0,357500.0,8971055.0,2.44,3541843.0
2026-06-02 09:10:00,357000.0,363000.0,357000.0,362500.0,10889150.0,3.87,1918095.0
2026-06-02 09:15:00,362500.0,363500.0,353500.0,353500.0,12552754.0,1.29,1663604.0
2026-06-02 09:20:00,355000.0,360000.0,355000.0,357250.0,13593487.0,2.36,1040733.0
2026-06-02 09:25:00,356500.0,356500.0,356500.0,356500.0,13635140.0,2.15,41653.0
2026-06-02 09:40:00,360500.0,360500.0,358500.0,358500.0,16203161.0,2.72,2568021.0
2026-06-02 09:45:00,357000.0,357500.0,355500.0,357500.0,17111233.0,2.44,908072.0
2026-06-02 09:50:00,358000.0,358000.0,355500.0,356000.0,17324167.0,2.01,212934.0
2026-06-02 09:55:00,354500.0,354500.0,349000.0,350000.0,18549540.0,0.29,1225373.0
2026-06-02 10:15:00,357500.0,358000.0,357500.0,358000.0,20496293.0,2.58,1946753.0
2026-06-02 10:30:00,359500.0,359500.0,359500.0,359500.0,21613348.0,3.01,1117055.0
2026-06-02 10:35:00,360000.0,360000.0,359500.0,359500.0,22023821.0,3.01,410473.0
2026-06-02 10:45:00,352500.0,353500.0,352500.0,353000.0,23199192.0,1.15,1175371.0
2026-06-02 10:50:00,353000.0,353000.0,352000.0,352500.0,23289801.0,1.0,90609.0
2026-06-02 11:00:00,350500.0,350500.0,350000.0,350000.0,24461643.0,0.29,1171842.0
2026-06-02 11:05:00,351000.0,351500.0,348500.0,348500.0,24781180.0,-0.14,319537.0
2026-06-02 11:10:00,351250.0,351500.0,350000.0,350000.0,25496298.0,0.29,715118.0
2026-06-02 11:15:00,350000.0,350500.0,349500.0,350000.0,25586492.0,0.29,90194.0
2026-06-02 11:20:00,354000.0,354000.0,351500.0,351500.0,26235788.0,0.72,649296.0
2026-06-02 11:25:00,352000.0,352500.0,351500.0,351500.0,26312887.0,0.72,77099.0
2026-06-02 11:30:00,353500.0,354500.0,353000.0,354500.0,26695837.0,1.58,382950.0
2026-06-02 11:35:00,354500.0,355500.0,354000.0,354500.0,26971861.0,1.58,276024.0
2026-06-02 11:40:00,354500.0,355500.0,354500.0,355500.0,27158690.0,1.86,186829.0
2026-06-02 11:45:00,355000.0,356000.0,354500.0,354500.0,27430792.0,1.58,272102.0
2026-06-02 11:50:00,355000.0,355000.0,352500.0,352500.0,27681021.0,1.0,250229.0
2026-06-02 11:55:00,354000.0,354000.0,352000.0,352500.0,28072506.0,1.0,391485.0
2026-06-02 12:00:00,352500.0,353500.0,352500.0,353000.0,28146788.0,1.15,74282.0
2026-06-02 12:05:00,351250.0,351250.0,350750.0,350750.0,28430519.0,0.5,283731.0
2026-06-02 12:25:00,348500.0,348500.0,348250.0,348250.0,29498569.0,-0.21,1068050.0
2026-06-02 12:40:00,349500.0,350000.0,349500.0,349500.0,30510149.0,0.14,1011580.0
2026-06-02 12:55:00,350750.0,350750.0,350750.0,350750.0,31186341.0,0.5,676192.0
2026-06-02 13:15:00,351500.0,351500.0,350500.0,350500.0,32357063.0,0.43,1170722.0
2026-06-02 13:20:00,350500.0,352000.0,350000.0,350500.0,32610513.0,0.43,253450.0
2026-06-02 13:25:00,350500.0,351000.0,349500.0,351000.0,32971534.0,0.57,361021.0
2026-06-02 13:30:00,352500.0,352500.0,352000.0,352000.0,33296203.0,0.86,324669.0
2026-06-02 13:35:00,351750.0,352000.0,351250.0,352000.0,33454802.0,0.86,158599.0
2026-06-02 13:40:00,351750.0,352000.0,351000.0,351000.0,33672916.0,0.57,218114.0
2026-06-02 13:45:00,352000.0,353250.0,351500.0,353000.0,34043527.0,1.15,370611.0
2026-06-02 13:50:00,353250.0,353750.0,352750.0,353500.0,34156311.0,1.29,112784.0
2026-06-02 14:05:00,356250.0,356500.0,354500.0,356500.0,35304212.0,2.15,1147901.0
2026-06-02 14:10:00,355750.0,356500.0,355000.0,355750.0,35497538.0,1.93,193326.0
2026-06-02 14:15:00,355500.0,356500.0,355500.0,356250.0,35666238.0,2.08,168700.0
2026-06-02 14:20:00,356250.0,356500.0,356250.0,356500.0,35750199.0,2.15,83961.0
2026-06-02 14:35:00,361000.0,361500.0,361000.0,361000.0,36853435.0,3.44,1103236.0
2026-06-02 14:50:00,365000.0,366000.0,360000.0,360000.0,38768102.0,3.15,1914667.0
2026-06-02 14:55:00,360500.0,362500.0,360000.0,362500.0,38968019.0,3.87,199917.0
2026-06-02 15:05:00,359000.0,359500.0,358500.0,358500.0,39886694.0,2.72,918675.0
2026-06-02 15:15:00,361500.0,361500.0,361000.0,361000.0,40404082.0,3.44,517388.0
2026-06-02 15:20:00,360000.0,360000.0,360000.0,360000.0,40627758.0,3.15,223676.0
2026-06-02 15:30:00,360500.0,360500.0,360500.0,360500.0,43093608.0,3.3,2465850.0
2026-06-02 15:40:00,360500.0,360500.0,360500.0,360500.0,43099703.0,3.3,6095.0
2026-06-02 15:45:00,360500.0,360500.0,360500.0,360500.0,43099842.0,3.3,139.0
2026-06-02 15:50:00,360500.0,360500.0,360500.0,360500.0,43101920.0,3.3,2078.0
2026-06-02 16:05:00,360500.0,360500.0,360500.0,360500.0,43102071.0,3.3,151.0
2026-06-02 16:10:00,360500.0,360500.0,360500.0,360500.0,43102071.0,3.3,0.0
2026-06-02 16:15:00,360500.0,360500.0,360500.0,360500.0,43102071.0,3.3,0.0
2026-06-02 16:20:00,360500.0,360500.0,360500.0,360500.0,43102071.0,3.3,0.0
2026-06-02 16:30:00,360500.0,360500.0,360500.0,360500.0,43102071.0,3.3,0.0
2026-06-02 16:35:00,360500.0,360500.0,360500.0,360500.0,43102071.0,3.3,0.0
2026-06-02 16:40:00,360500.0,360500.0,360500.0,360500.0,43102071.0,3.3,0.0
2026-06-02 16:45:00,360500.0,360500.0,360500.0,360500.0,43102071.0,3.3,0.0
2026-06-02 17:00:00,360500.0,360500.0,360500.0,360500.0,43102071.0,3.3,0.0
2026-06-02 17:10:00,360500.0,360500.0,360500.0,360500.0,43102071.0,3.3,0.0
