,Datetime,Adj Close,Close,High,Low,Open,Volume
0,2026-02-25 00:00:00+00:00,203500.0,203500.0,205000.0,202000.0,202500.0,0
1,2026-02-25 00:05:00+00:00,202750.0,202750.0,204000.0,202500.0,203500.0,551581
2,2026-02-25 00:10:00+00:00,202000.0,202000.0,203000.0,201000.0,202500.0,704566
3,2026-02-25 00:15:00+00:00,201500.0,201500.0,202000.0,201000.0,201500.0,374394
4,2026-02-25 00:20:00+00:00,203000.0,203000.0,203000.0,201000.0,201500.0,622484
5,2026-02-25 00:25:00+00:00,201250.0,201250.0,203000.0,201000.0,203000.0,636552
6,2026-02-25 00:30:00+00:00,201500.0,201500.0,202000.0,201000.0,201250.0,285567
7,2026-02-25 00:35:00+00:00,203000.0,203000.0,203000.0,201000.0,201500.0,527211
8,2026-02-25 00:40:00+00:00,202500.0,202500.0,203000.0,202000.0,203000.0,421794
9,2026-02-25 00:45:00+00:00,202250.0,202250.0,203000.0,202000.0,202250.0,303433
10,2026-02-25 00:50:00+00:00,202000.0,202000.0,202500.0,201500.0,202250.0,306224
11,2026-02-25 00:55:00+00:00,201500.0,201500.0,202000.0,201000.0,202000.0,318814
12,2026-02-25 01:00:00+00:00,201500.0,201500.0,202500.0,201000.0,201500.0,326983
13,2026-02-25 01:05:00+00:00,202000.0,202000.0,202000.0,201500.0,201500.0,111010
14,2026-02-25 01:10:00+00:00,202000.0,202000.0,202500.0,201500.0,202000.0,223633
15,2026-02-25 01:15:00+00:00,202500.0,202500.0,202500.0,202000.0,202500.0,232907
16,2026-02-25 01:20:00+00:00,202500.0,202500.0,202500.0,202000.0,202000.0,194523
17,2026-02-25 01:25:00+00:00,203000.0,203000.0,203000.0,202000.0,202500.0,428835
18,2026-02-25 01:30:00+00:00,203500.0,203500.0,203500.0,202500.0,203000.0,287640
19,2026-02-25 01:35:00+00:00,203000.0,203000.0,203500.0,203000.0,203000.0,252351
20,2026-02-25 01:40:00+00:00,203500.0,203500.0,203500.0,203000.0,203500.0,178248
21,2026-02-25 01:45:00+00:00,203500.0,203500.0,204000.0,203000.0,203500.0,947039
22,2026-02-25 01:50:00+00:00,203000.0,203000.0,204000.0,203000.0,203500.0,814842
23,2026-02-25 01:55:00+00:00,203500.0,203500.0,203500.0,203000.0,203000.0,132100
24,2026-02-25 02:00:00+00:00,203500.0,203500.0,203500.0,203000.0,203500.0,173131
25,2026-02-25 02:05:00+00:00,204000.0,204000.0,204000.0,203000.0,203500.0,306593
26,2026-02-25 02:10:00+00:00,204000.0,204000.0,204000.0,203500.0,204000.0,129683
27,2026-02-25 02:15:00+00:00,203500.0,203500.0,204500.0,203500.0,204000.0,325645
28,2026-02-25 02:20:00+00:00,204000.0,204000.0,204000.0,203500.0,204000.0,141914
