datetime,open,high,low,close,volume,change_rate,volume_diff,ema8,ema8_distance,typical_price,vwap,vwap_distance,volume_ma5,volume_ratio,prev_close,tr1,tr2,tr3,tr,atr14,ma5,ma20,above_vwap,above_ema8,volume_spike,body,upper_shadow,lower_shadow,day_position
2026-06-01 15:00:00,351500.0,351750.0,350500.0,351750.0,34368766.0,10.96,0.0,351750.0,0.0,351333.3333333333,351750.0,0.0,,,,1250.0,,,1250.0,,,,0,0,0,250.0,0.0,1000.0,0.7808641975308642
2026-06-01 15:05:00,353000.0,354250.0,352500.0,353000.0,35390871.0,11.36,1022105.0,352027.77777777775,972.2222222222481,353250.0,353250.0,-250.0,,,351750.0,1750.0,2500.0,750.0,2500.0,,,,0,1,0,0.0,1250.0,500.0,0.7962962962962963
2026-06-01 15:10:00,353000.0,353500.0,351500.0,352000.0,35965866.0,11.04,574995.0,352021.6049382716,-21.604938271571882,352333.3333333333,352919.9776156784,-919.9776156783919,,,353000.0,2000.0,500.0,1500.0,2000.0,,,,0,0,0,1000.0,500.0,500.0,0.7839506172839507
2026-06-01 15:15:00,352500.0,352500.0,351000.0,352000.0,36678231.0,11.04,712365.0,352016.8038408779,-16.80384087789571,351833.3333333333,352584.7972365894,-584.7972365894238,,,352000.0,1500.0,500.0,1000.0,1500.0,,,,0,0,0,500.0,0.0,1000.0,0.7839506172839507
2026-06-01 15:20:00,351500.0,351500.0,351500.0,351500.0,36679661.0,10.88,1430.0,351901.95854290505,-401.9585429050494,351500.0,352584.12595552806,-1084.1259555280558,462179.0,0.003094039322427025,352000.0,0.0,500.0,500.0,500.0,,352050.0,,0,0,0,0.0,0.0,0.0,0.7777777777777778
2026-06-01 15:25:00,351500.0,351500.0,351500.0,351500.0,36679661.0,10.88,0.0,351812.63442225946,-312.63442225946346,351500.0,351500.0,0.0,462179.0,0.0,351500.0,0.0,0.0,0.0,0.0,,352000.0,,0,0,0,0.0,0.0,0.0,0.7777777777777778
2026-06-01 15:30:00,351500.0,351500.0,349000.0,349000.0,39345631.0,10.09,2665970.0,351187.60455064627,-2187.6045506462688,349833.3333333333,351110.6018380379,-2110.6018380378955,790952.0,3.3705838028097785,351500.0,2500.0,0.0,2500.0,2500.0,,351200.0,,0,0,1,2500.0,0.0,0.0,0.7469135802469136
2026-06-01 15:35:00,349000.0,349000.0,349000.0,349000.0,39369650.0,10.09,24019.0,350701.4702060582,-1701.4702060581767,349000.0,351100.4647211706,-2100.4647211706033,680756.8,0.03528279115243505,349000.0,0.0,0.0,0.0,0.0,,350600.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 15:40:00,349000.0,349000.0,349000.0,349000.0,39369788.0,10.09,138.0,350323.365715823,-1323.3657158230199,349000.0,351100.40676019154,-2100.406760191545,538311.4,0.0002563571939958916,349000.0,0.0,0.0,0.0,0.0,,350000.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 15:45:00,349000.0,349000.0,349000.0,349000.0,39371923.0,10.09,2135.0,350029.2844456401,-1029.2844456401072,349000.0,351099.5104524336,-2099.5104524336057,538452.4,0.003965067292856342,349000.0,0.0,0.0,0.0,0.0,,349500.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 15:50:00,349000.0,349000.0,349000.0,349000.0,39371979.0,10.09,56.0,349800.55456883117,-800.5545688311686,349000.0,351099.4869530173,-2099.486953017302,538463.6,0.00010399960183009585,349000.0,0.0,0.0,0.0,0.0,,349000.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 15:55:00,349000.0,349000.0,349000.0,349000.0,39372101.0,10.09,122.0,349622.65355353535,-622.6535535353469,349000.0,351099.43575968157,-2099.435759681568,5294.0,0.0230449565545901,349000.0,0.0,0.0,0.0,0.0,,349000.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:00:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,2.0,349484.2860971941,-484.28609719412634,349000.0,351099.4349204674,-2099.434920467378,490.6,0.0040766408479412965,349000.0,0.0,0.0,0.0,0.0,,349000.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:05:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349376.6669644843,-376.6669644843205,349000.0,349000.0,0.0,463.0,0.0,349000.0,0.0,0.0,0.0,0.0,732.1428571428571,349000.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:10:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349292.9631945989,-292.96319459890947,349000.0,349000.0,0.0,36.0,0.0,349000.0,0.0,0.0,0.0,0.0,642.8571428571429,349000.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:15:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349227.86026246584,-227.86026246583788,349000.0,349000.0,0.0,24.8,0.0,349000.0,0.0,0.0,0.0,0.0,464.2857142857143,349000.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:20:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349177.22464858455,-177.2246485845535,349000.0,349000.0,0.0,0.4,0.0,349000.0,0.0,0.0,0.0,0.0,321.42857142857144,349000.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:25:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349137.8413933435,-137.8413933435222,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,214.28571428571428,349000.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:30:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349107.2099726005,-107.20997260051081,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,178.57142857142858,349000.0,,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:35:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349083.3855342448,-83.38553424482234,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,178.57142857142858,349000.0,349887.5,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:40:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349064.85541552375,-64.85541552375071,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349750.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:45:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349050.4431009629,-50.44310096290428,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349550.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:50:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349039.23352297116,-39.23352297116071,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349400.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 16:55:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349030.5149623109,-30.514962310902774,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349250.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 17:00:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349023.7338595751,-23.733859575120732,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349125.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 17:05:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349018.45966855844,-18.45966855844017,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349000.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 17:10:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349014.3575199899,-14.357519989891443,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349000.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 17:15:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349011.16695999214,-11.166959992144257,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349000.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 17:20:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349008.68541332724,-8.685413327242713,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349000.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 17:25:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349006.7553214767,-6.75532147672493,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349000.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
2026-06-01 17:30:00,349000.0,349000.0,349000.0,349000.0,39372103.0,10.09,0.0,349005.25413892634,-5.254138926335145,349000.0,349000.0,0.0,0.0,,349000.0,0.0,0.0,0.0,0.0,0.0,349000.0,349000.0,0,0,0,0.0,0.0,0.0,0.7469135802469136
